player_name,challenge_wins,challenge_appearances,sit_outs,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,total_days,exile_days,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,season,episode
Richard,0.0,1.0,,1.0,,3.0,1.0,2.0,,,1.0,0.0,,,,1,13
Kelly W,1.0,1.0,,1.0,,3.0,1.0,2.0,,1.0,1.0,1.0,,,,1,13
Rudy,0.0,1.0,,0.0,1.0,3.0,1.0,1.0,,,1.0,0.0,,,,1,13
Richard,0.0,1.0,,1.0,2.0,4.0,1.0,1.0,,,1.0,0.0,,,,1,13
Kelly W,1.0,1.0,,0.0,,4.0,1.0,1.0,,1.0,1.0,1.0,,,,1,13
Rudy,0.0,1.0,,1.0,,4.0,1.0,1.0,,,1.0,0.0,,,,1,13
Sue,0.0,1.0,,0.0,2.0,4.0,1.0,1.0,,,1.0,0.0,,,,1,13
Richard,0.0,2.0,,1.0,,5.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,1,12
Kelly W,2.0,2.0,,1.0,,5.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,12
Rudy,0.0,2.0,,1.0,,5.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,1,12
Sue,0.0,2.0,,1.0,1.0,5.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,1,12
Sean,0.0,2.0,,0.0,4.0,5.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,1,12
Richard,0.0,3.0,,1.0,,6.0,1.0,3.0,,0.0,1.0,0.0,0.0,1.0,0.0,1,11
Kelly W,1.0,3.0,,0.0,,6.0,1.0,3.0,,0.0,1.0,0.0,0.0,1.0,0.0,1,11
Rudy,0.0,3.0,,1.0,,6.0,1.0,3.0,,0.0,1.0,0.0,0.0,1.0,0.0,1,11
Sue,0.0,3.0,,1.0,,6.0,1.0,3.0,,0.0,1.0,0.0,0.0,1.0,0.0,1,11
Sean,1.0,3.0,,1.0,2.0,6.0,1.0,3.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,11
Colleen,0.0,3.0,,0.0,4.0,6.0,1.0,3.0,,0.0,1.0,0.0,1.0,1.0,1.0,1,11
Richard,1.0,2.0,,1.0,,7.0,1.0,3.0,,0.0,1.0,0.0,1.0,1.0,1.0,1,10
Kelly W,0.0,2.0,,1.0,,7.0,1.0,3.0,,0.0,1.0,0.0,,1.0,0.0,1,10
Rudy,0.0,2.0,,1.0,,7.0,1.0,3.0,,0.0,1.0,0.0,,1.0,0.0,1,10
