season,episode,player_name,voted_off_next,total_days,exile_days,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,challenge_wins,challenge_appearances,sit_outs,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,cumsum_total_days,cumsum_exile_days,cumsum_votes_for_bootee,cumsum_votes_against_player,cumsum_total_votes,cumsum_tribal_council_appearances,cumsum_challenge_wins,cumsum_challenge_appearances,cumsum_sit_outs,cumsum_reward_chl_win,cumsum_reward_chl_teammates,cumsum_reward_chl_win_perc,cumsum_immun_chl_win,cumsum_immun_chl_teammates,cumsum_immun_chl_win_perc
1,1,B.B.,1,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0
1,1,Colleen,0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0
1,1,Dirk,0,3.0,0.0,1.0,0.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1,1,Gervase,0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0
1,1,Greg,0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0
1,1,Gretchen,0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0
1,1,Jenna,0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0
1,1,Joel,0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0
1,1,Kelly W,0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1,1,Ramona,0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,1.0,8.0,0.125,0.0,0.0,0.0
