episode,voted_off_next,total_days,exile_days,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,challenge_wins,challenge_appearances,sit_outs,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,cumsum_total_days,cumsum_exile_days,cumsum_votes_for_bootee,cumsum_votes_against_player,cumsum_total_votes,cumsum_tribal_council_appearances,cumsum_challenge_wins,cumsum_challenge_appearances,cumsum_sit_outs,cumsum_reward_chl_win,cumsum_reward_chl_teammates,cumsum_reward_chl_win_perc,cumsum_immun_chl_win,cumsum_immun_chl_teammates,cumsum_immun_chl_win_perc
3,1,6.0,0.0,0.0,6.0,8.0,1.0,0.25,0.3928571429,0.0,2.0,16.0,0.25,0.0,8.0,0.0,9.0,0.0,0.0,6.0,8.0,1.0,0.375,0.5178571429000001,0.0,3.0,24.0,0.375,0.0,8.0,0.0
66,1,33.0,0.0,3.0,7.0,61.0,8.0,1.5595238096,12.0714285714,3.0,3.0,41.0,1.25,3.0,35.0,1.3095238096,198.0,0.0,24.0,25.0,302.0,39.0,8.077380953,42.1011904761,19.0,24.0,341.0,5.625,17.0,267.0,3.452380953
15,1,15.0,0.0,2.0,4.0,21.0,3.0,0.6190476191000001,1.5119047619,1.0,2.0,31.0,0.30952380960000003,2.0,26.0,0.30952380960000003,45.0,0.0,8.0,4.0,67.0,9.0,1.6666666669,3.7202380953,1.0,5.0,104.0,0.7619047621000001,6.0,67.0,0.9047619050000001
55,1,30.0,0.0,1.0,6.0,55.0,7.0,2.8928571429,9.0714285714,2.0,4.0,40.0,1.5833333333,3.0,34.0,1.3095238096,165.0,0.0,9.0,9.0,241.0,31.0,10.1845238099,30.029761904700003,11.0,25.0,300.0,5.041666666499999,17.0,232.0,5.1428571434
36,1,24.0,0.0,1.0,6.0,40.0,5.0,2.5595238096,5.0714285714,2.0,4.0,38.0,2.25,2.0,32.0,0.30952380960000003,108.0,0.0,3.0,6.0,138.0,18.0,6.3988095242,13.886904761900002,7.0,18.0,221.0,4.875,10.0,165.0,1.5238095242000003
28,1,21.0,0.0,3.0,4.0,31.0,4.0,1.2261904762,3.0714285714000003,0.0,4.0,37.0,0.9166666666,2.0,31.0,0.30952380960000003,84.0,0.0,12.0,4.0,98.0,13.0,4.5059523811,8.8154761905,0.0,18.0,183.0,3.2916666665,8.0,133.0,1.2142857146000001
45,1,27.0,0.0,4.0,11.0,48.0,6.0,1.2261904762,7.0714285714,0.0,4.0,39.0,0.9166666666,2.0,33.0,0.30952380960000003,135.0,0.0,20.0,27.0,186.0,24.0,6.9583333335,20.9583333333,0.0,26.0,260.0,5.1249999997,12.0,198.0,1.8333333338000002
21,1,18.0,0.0,2.0,4.0,21.0,3.0,0.8928571429000001,2.0714285714000003,1.0,3.0,36.0,0.5833333332999999,2.0,31.0,0.30952380960000003,63.0,0.0,8.0,4.0,67.0,9.0,2.9464285716000003,5.744047619100001,1.0,13.0,146.0,2.0416666666,6.0,102.0,0.9047619050000001
66,0,33.0,0.0,4.0,0.0,61.0,8.0,1.8690476191,12.0952380952,2.0,2.0,39.0,0.30952380960000003,3.0,34.0,0.5595238096,198.0,0.0,18.0,0.0,323.0,42.0,7.8809523815,42.2916666665,13.0,17.0,323.0,2.6190476197000003,24.0,257.0,4.2619047626
10,1,12.0,0.0,1.0,6.0,15.0,2.0,0.3928571429,0.9880952381000001,1.0,2.0,30.0,0.25,1.0,21.0,0.1428571429,30.0,0.0,3.0,10.0,31.0,4.0,1.1607142858000001,2.1845238096,1.0,7.0,77.0,0.875,2.0,44.0,0.2857142858
66,0,33.0,0.0,7.0,4.0,61.0,8.0,1.8690476191,12.0952380952,0.0,2.0,39.0,0.30952380960000003,4.0,34.0,1.5595238096,198.0,0.0,31.0,14.0,323.0,42.0,8.8809523815,42.2916666665,0.0,17.0,323.0,2.6190476197000003,26.0,257.0,6.2619047626
66,0,33.0,0.0,8.0,7.0,61.0,8.0,1.6190476191,12.0952380952,3.0,2.0,39.0,0.30952380960000003,3.0,34.0,1.3095238096,198.0,0.0,42.0,63.0,323.0,42.0,8.3809523815,42.2916666665,19.0,17.0,323.0,2.6190476197000003,21.0,257.0,5.7619047626
66,1,33.0,0.0,6.0,5.0,61.0,8.0,1.8690476191,12.0952380952,0.0,3.0,39.0,1.3095238096,3.0,34.0,0.5595238096,198.0,0.0,30.0,9.0,323.0,42.0,7.8809523815,42.2916666665,0.0,18.0,323.0,3.6190476197,24.0,257.0,4.2619047626
1,0,3.0,0.0,0.0,4.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0
6,1,9.0,0.0,0.0,6.0,15.0,2.0,0.2857142858,0.6785714286,0.0,1.0,22.0,0.1428571429,1.0,14.0,0.1428571429,18.0,0.0,0.0,8.0,31.0,4.0,0.42857142870000003,1.1964285715,0.0,1.0,45.0,0.1428571429,2.0,21.0,0.2857142858
66,0,33.0,0.0,8.0,2.0,61.0,8.0,0.8690476191000001,12.0952380952,0.0,2.0,39.0,0.30952380960000003,3.0,34.0,0.5595238096,198.0,0.0,42.0,12.0,323.0,42.0,6.8809523815,42.2916666665,0.0,17.0,323.0,2.6190476197000003,24.0,257.0,4.2619047626
36,1,24.0,0.0,2.0,5.0,34.0,4.0,0.9714285715000001,4.525,0.0,3.0,41.0,0.5428571429,3.0,29.0,0.42857142870000003,108.0,0.0,12.0,5.0,121.0,15.0,4.6857142862000005,12.114285714200001,0.0,12.0,228.0,2.1142857145000002,18.0,155.0,2.5714285722000003
66,1,33.0,0.0,5.0,6.0,61.0,8.0,0.5928571429,9.094047619,0.0,3.0,45.0,0.3928571429,1.0,29.0,0.2,198.0,0.0,30.0,8.0,321.0,42.0,5.3107142861000005,34.613095237699994,0.0,30.0,362.0,3.9107142861,7.0,234.0,1.4000000000000001
78,0,36.0,0.0,8.0,5.0,66.0,9.0,5.0928571429,10.094047619,0.0,7.0,46.0,3.8928571429,2.0,29.0,1.2,234.0,0.0,49.0,30.0,387.0,51.0,15.903571429,44.707142856699996,0.0,43.0,408.0,12.303571429,10.0,263.0,3.5999999999999996
1,0,3.0,0.0,0.0,7.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0
78,1,36.0,0.0,4.0,2.0,60.0,8.0,0.9714285715000001,10.025,0.0,3.0,46.0,0.5428571429,3.0,31.0,0.42857142870000003,234.0,0.0,26.0,8.0,327.0,41.0,8.5714285722,44.2142857142,0.0,24.0,406.0,4.2857142861,30.0,277.0,4.285714287
45,1,27.0,0.0,4.0,12.0,48.0,6.0,2.0928571429,6.0940476189999995,0.0,5.0,43.0,1.8928571429,1.0,28.0,0.2,135.0,0.0,20.0,29.0,205.0,27.0,6.6250000003,18.4249999997,0.0,27.0,273.0,5.6250000003,5.0,177.0,1.0
78,0,36.0,0.0,8.0,6.0,66.0,9.0,2.5928571429,10.094047619,0.0,4.0,46.0,1.3928571429,2.0,29.0,1.2,234.0,0.0,41.0,32.0,387.0,51.0,16.903571429,44.707142856699996,0.0,39.0,408.0,10.303571429,13.0,263.0,6.6
3,1,6.0,0.0,0.0,7.0,8.0,1.0,0.25,0.375,0.0,2.0,16.0,0.25,0.0,8.0,0.0,9.0,0.0,0.0,7.0,8.0,1.0,0.375,0.5,0.0,3.0,24.0,0.375,0.0,8.0,0.0
15,1,15.0,0.0,1.0,6.0,15.0,2.0,0.5714285715,1.3250000000000002,1.0,1.0,34.0,0.1428571429,3.0,28.0,0.42857142870000003,45.0,0.0,5.0,6.0,47.0,6.0,1.5714285717,3.5392857142,1.0,2.0,108.0,0.2857142858,9.0,70.0,1.2857142861000002
6,1,9.0,0.0,1.0,5.0,15.0,2.0,0.3928571429,0.6607142857,0.0,3.0,23.0,0.3928571429,0.0,15.0,0.0,18.0,0.0,2.0,5.0,23.0,3.0,0.7678571429000001,1.1607142857000001,0.0,6.0,47.0,0.7678571429000001,0.0,23.0,0.0
10,1,12.0,0.0,2.0,4.0,21.0,3.0,0.3928571429,0.994047619,0.0,3.0,29.0,0.3928571429,0.0,21.0,0.0,30.0,0.0,5.0,5.0,44.0,6.0,1.1607142858000001,2.1547619047,0.0,9.0,76.0,1.1607142858000001,0.0,44.0,0.0
55,1,30.0,0.0,3.0,4.0,49.0,6.0,1.9714285715000002,7.025,0.0,3.0,44.0,0.5428571429,4.0,30.0,1.4285714287,165.0,0.0,18.0,4.0,212.0,26.0,8.6285714292,25.164285714200002,0.0,18.0,315.0,3.2000000003,26.0,215.0,5.4285714296
78,1,36.0,0.0,4.0,5.0,60.0,8.0,0.5714285715,10.025,2.0,1.0,46.0,0.1428571429,3.0,31.0,0.42857142870000003,234.0,0.0,26.0,7.0,327.0,41.0,5.5714285722,44.2142857142,15.0,9.0,406.0,1.2857142861000002,30.0,277.0,4.285714287
21,1,18.0,0.0,2.0,6.0,21.0,3.0,0.9714285715000001,1.5250000000000001,0.0,3.0,39.0,0.5428571429,3.0,28.0,0.42857142870000003,63.0,0.0,8.0,6.0,68.0,9.0,2.7428571432,5.0642857142,0.0,6.0,147.0,1.0285714287,12.0,98.0,1.7142857148000001
78,0,36.0,0.0,9.0,0.0,66.0,9.0,0.5928571429,10.094047619,0.0,3.0,46.0,0.3928571429,1.0,29.0,0.2,234.0,0.0,51.0,0.0,387.0,51.0,5.903571429,44.707142856699996,0.0,33.0,408.0,4.303571429,8.0,263.0,1.6
28,1,21.0,0.0,2.0,7.0,25.0,3.0,0.9714285715000001,2.5250000000000004,0.0,3.0,40.0,0.5428571429,3.0,28.0,0.42857142870000003,84.0,0.0,10.0,15.0,87.0,11.0,3.7142857147,7.589285714200001,0.0,9.0,187.0,1.5714285716,15.0,126.0,2.1428571435
66,0,33.0,0.0,6.0,3.0,61.0,8.0,1.6666666666999999,9.3107142856,1.0,1.0,43.0,0.1666666667,4.0,34.0,1.5000000001,198.0,0.0,21.0,18.0,324.0,42.0,6.5000000002,36.1321428562,6.0,9.0,348.0,1.5000000003,25.0,254.0,5.0000000008
45,1,27.0,0.0,4.0,6.0,48.0,6.0,1.4261904763,6.2928571428,1.0,5.0,42.0,1.1345238096,2.0,33.0,0.29166666669999997,135.0,0.0,18.0,6.0,178.0,23.0,6.4011904769,19.367857142600002,7.0,28.0,263.0,4.5678571434,13.0,195.0,1.8333333334999997
6,1,9.0,0.0,0.0,4.0,8.0,1.0,0.392857143,0.7261904762,1.0,2.0,21.0,0.26785714299999996,1.0,14.0,0.125,18.0,0.0,0.0,4.0,8.0,1.0,0.910714286,1.2440476191,1.0,5.0,44.0,0.6607142859999999,2.0,22.0,0.25
28,1,21.0,0.0,3.0,12.0,31.0,4.0,0.8666666667,2.8107142856,0.0,2.0,39.0,0.3333333334,3.0,30.0,0.5333333334,84.0,0.0,16.0,34.0,126.0,17.0,3.2333333334,8.3892857138,0.0,8.0,181.0,1.3333333336,11.0,124.0,1.9000000003
1,0,3.0,0.0,0.0,6.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0
66,0,33.0,0.0,8.0,0.0,61.0,8.0,2.8666666667,9.3107142856,0.0,3.0,43.0,1.3333333334,4.0,34.0,1.5333333333999999,198.0,0.0,43.0,0.0,330.0,43.0,14.7000000002,36.1321428562,0.0,20.0,348.0,6.6666666671999995,27.0,254.0,8.0333333339
55,1,30.0,0.0,3.0,9.0,55.0,7.0,1.4261904763,7.2928571428,0.0,5.0,42.0,1.1011904763,2.0,34.0,0.325,165.0,0.0,12.0,16.0,239.0,31.0,7.8273809532,26.6607142854,0.0,34.0,305.0,5.7023809532000005,14.0,229.0,2.125
